prefecture,forest_area,planted_forest_area,all_area,forest_ratio,planted_forest_ratio,population,population_density
北海道,5542533.03,1494391.63,7842086,0.706767693,0.269622503,5460668,0.696328502
青森県,634784.5,272661.62,960794,0.660687411,0.429534149,1349899,1.404982754
岩手県,1172462.59,495222.67,1527889,0.767374194,0.422378227,1303351,0.853040371
宮城県,417923.77,199676.86,728577,0.573616474,0.47778297,2325407,3.191710691
秋田県,839535.85,411620.94,1161187,0.722997975,0.490295846,1063168,0.91558724
山形県,668592.92,185727.02,932346,0.717108155,0.277787895,1151863,1.235445854
福島県,975456.33,342625.23,1378276,0.707736571,0.351246098,1962333,1.423759102
茨城県,187508.24,111690.99,609572,0.307606386,0.595659103,2945824,4.832610422
栃木県,350113.62,156282.41,640828,0.546345697,0.446376265,1993386,3.110641233
群馬県,424170.79,178178.74,636233,0.666690961,0.420063673,1992432,3.131607446
埼玉県,121260.77,59859.95,379808,0.319268604,0.493646461,7208122,18.97833116
千葉県,159465.4,61486.67,515661,0.309244639,0.385580007,6195576,12.01482369
東京都,79381.62,35183.32,218867,0.362693417,0.44321746,13216221,60.38471309
神奈川県,94915.34,36318.19,241586,0.392884273,0.382637727,9072133,37.55239542
新潟県,856935.32,163176.78,1258383,0.680981323,0.190419016,2347092,1.865165057
富山県,283981.52,53490.6,424761,0.668567783,0.18835944,1082763,2.549111147
石川県,286412.62,101878.91,418567,0.684269472,0.355706777,1162953,2.778415403
福井県,312312.55,125361.28,418988,0.745397362,0.40139687,799127,1.907278967
山梨県,347689.28,153483.97,446537,0.778634872,0.441440041,851681,1.907302194
長野県,1069672.61,445477.04,1356223,0.7887144,0.416461108,2133014,1.572760527
岐阜県,861636.49,384870.14,1062117,0.81124442,0.446673446,2064940,1.944173759
静岡県,501007.28,282777.5,778050,0.643926843,0.564417946,3736600,4.802519118
愛知県,219034.89,141184.98,516512,0.424065443,0.644577583,7425952,14.37711418
三重県,372599.77,230317.53,577731,0.644936432,0.618136533,1838611,3.182469004
滋賀県,204250.02,84979.58,401736,0.508418514,0.416056654,1416546,3.526061891
京都府,342603.86,131478.79,461321,0.742658279,0.383763306,2627313,5.695194886
大阪府,57969.19,28328.34,189928,0.305216661,0.488679245,8863324,46.66675793
兵庫県,560663.8,240329.17,839616,0.667762167,0.428651127,5571096,6.635290418
奈良県,284791.03,172548.66,369109,0.771563495,0.605878142,1389690,3.764985411
和歌山県,363040.93,219318.31,472629,0.768130881,0.604114555,987483,2.089340688
鳥取県,258925.66,140154.65,350728,0.738252036,0.541293011,581870,1.659034922
島根県,525589.38,205819.24,670796,0.78353088,0.39159703,707074,1.054082016
岡山県,483808.46,200713.11,711323,0.680152983,0.414860687,1936575,2.722497375
広島県,612132.52,200881.4,847970,0.721879925,0.328166522,2849104,3.359911318
山口県,437407,196259.77,611409,0.71540818,0.448689138,1431294,2.340976335
徳島県,313862.84,191309.73,414674,0.756890569,0.609532909,775871,1.871038454
香川県,87577.36,23103.35,187655,0.466693453,0.263805052,989159,5.271157177
愛媛県,401113.6,246092.65,567833,0.706393605,0.613523575,1414996,2.491922801
高知県,596783.07,389584.98,710516,0.839929108,0.652808365,752042,1.058444849
福岡県,221800.79,141883.31,497851,0.44551641,0.639688028,5085368,10.21463852
佐賀県,111115.37,73753.13,243965,0.455456192,0.663752728,843505,3.457483655
長崎県,242559.97,104830.46,410547,0.590821441,0.432183678,1407925,3.429388109
熊本県,463832.92,280585.28,740479,0.626395779,0.604927481,1807201,2.44058373
大分県,453492,237296.83,633974,0.715316401,0.523265747,1185830,1.870471029
宮崎県,589877.58,350672.39,773599,0.762510784,0.594483333,1126132,1.455705088
鹿児島県,584225.71,294316.39,918882,0.635800582,0.503771719,1689397,1.838535307
沖縄県,104580.07,12218.26,227649,0.459391739,0.11683163,1410138,6.194351831
